40.75252,-73.97307
40.75835,-73.96800
40.76719,-73.99181
40.75948,-73.98987
40.75286,-73.97610
40.75891,-73.97902
40.75080,-73.99612
40.70580,-74.01860
40.73863,-73.98294
40.69460,-73.99064
40.72557,-73.99821
40.73139,-73.98840
40.75526,-73.99668
40.75240,-73.98300
40.70793,-74.01333
40.74459,-73.97809
40.70879,-74.00322
40.70617,-74.00860
40.69320,-73.99120
40.76590,-73.98140
40.69538,-74.02653
40.71422,-74.00817
40.74790,-73.97930
40.74870,-73.98620
40.75640,-73.98270
40.74406,-74.00459
40.75521,-73.97608
40.70312,-74.01002
40.76374,-73.97268
40.75515,-73.97497
40.76440,-73.97800
40.72092,-74.00888